name,york_id,n_entries_iris,n_instruments_iris,value,has_materials
1,york:29203,4,1,Article semantics in L2 acquisition: The role of specificity,Records with materials
1,york:29203,4,1,Variability in second language article production: A comparison of L1 Thai and L1 French learners of L2 English,Records with materials
1,york:29203,4,1,Are L2 English article choices UG-regulated,Records with materials
1,york:29203,4,1,The representation of English articles in second language grammars: Determiners or adjectives,Records with materials
2,york:29229,2,1,"Older learners in SLA research: A first look at working memory, feedback, and L2 development",Records with materials
2,york:29229,2,1,Phonological sequence learning and short-term store capacity determine second language vocabulary acquisition,Records with materials
3,york:29230,1,2,"Input, interaction, and second language development - An empirical study of question formation in ESL",Records with materials
4,york:29232,2,8,A quadripolar model of identity in adolescent foreign language learners,Records with materials
4,york:29232,2,8,Self and identity in adolescent foreign language learning,Records with materials
5,york:29240,1,1,Animacy affects the processing of subject-object ambiguities in L2 processing: Evidence from self-paced reading with German L2 learners of Dutch,Records with materials
6,york:29241,2,1,Interaction in advanced EFL pedagogy: A comparison of form-focused activities,Records with materials
6,york:29241,2,1,The effectiveness of two form-focused tasks in advanced EFL pedagogy,Records with materials
7,york:29242,2,3,"Task complexity, focus on L2 constructions, and individual differences: A classroom-based study",Records with materials
7,york:29242,2,3,Using a gdss to facilitate group consensus: Some intended and unintended consequences,Records with materials
8,york:29243,2,1,Composition through pictures,Records with materials
8,york:29243,2,1,"Chapters 1, 3, 4, 5, 6 and 8",Records with materials
9,york:29244,1,1,Interactional feedback in learner-learner interactions in a task-based EFL classroom,Records with materials
10,york:29255,1,1,Interactional feedback in learner-learner interactions in a task-based EFL classroom,Records with materials
11,york:29263,2,3,"Input, interaction, and second language development: An empirical study of question formation in ESL",Records with materials
11,york:29263,2,3,Beyond production: Learners' perceptions about interactional processes,Records with materials
12,york:29264,3,1,Targeting morpho-syntax in children's ESL: An empirical study of the use of interactive goal-based tasks,Records with materials
12,york:29264,3,1,Interactional feedback and children's L2 development,Records with materials
12,york:29264,3,1,Interactional tasks and English L2 learning by immigrant children in Singapore,Records with materials
13,york:29265,2,1,Beyond production: Learners' perceptions about interactional processes,Records with materials
13,york:29265,2,1,Interactional feedback and children’s L2 development,Records with materials
14,york:29266,2,3,Interactional tasks and English L2 learning by immigrant children in Singapore,Records with materials
14,york:29266,2,3,Interactional feedback and children’s L2 development,Records with materials
